sentence_id,words,labels
1,like,n-obj
1,driving,n-obj
1,car,obj
2,the,n-obj
2,table,obj
2,is,n-obj
2,surronded,n-obj
2,by,n-obj
2,seven,obj
2,chairs,obj
3,i,n-obj
3,like,n-obj
3,drinking,n-obj
3,coffee,obj
3,in,n-obj
3,a,n-obj
3,mug,obj
4,a ,n-obj
4,normal,n-obj
4,car,obj
4,has,n-obj
4,4,obj
4,wheels,obj
5,the ,n-obj
5,lock,obj
5,in,n-obj
5,the,n-obj
5,door,obj
5,doesn't,n-obj
5,work,n-obj
6,I,n-obj
6,love,n-obj
6,driving,n-obj
6,motercycle,obj
7,the,n-obj
7,remote,obj
7,in,n-obj
7,your,n-obj
7,hand,n-obj
7,has,n-obj
7,2,obj
7,batteries,obj
8,they,n-obj
8,are,n-obj
8,sitting,n-obj
8,in,n-obj
8,separate,n-obj
8,chairs,obj
9,to,n-obj
9,play,n-obj
9,cricket,n-obj
9,we,n-obj
9,need,n-obj
9,one,obj
9,bat ,obj
9,and,n-obj
9,one,obj
9,ball,obj
10,i,n-obj
10,lost,n-obj
10,my,n-obj
10,car,obj
10,keys,obj
11,I,n-obj
11,need,n-obj
11,money,obj
12,the,n-obj
12,cabel,obj
12,wire,obj
12,is,n-obj
12,broken,n-obj
13,I,n-obj
13,hear,n-obj
13,something,n-obj
13,from,n-obj
13,your,n-obj
13,phone,obj
14,your,n-obj
14,laptop,obj
14,is,n-obj
14,heating,n-obj
14,a,n-obj
14,lot,n-obj
15,I,n-obj
15,love,n-obj
15,my,n-obj
15,job,n-obj
16,i,n-obj
16,am,n-obj
16,crazy,n-obj
16,with,n-obj
16,my,n-obj
16,guitar,obj
17,your,n-obj
17,hall,n-obj
17,needs,n-obj
17,a,n-obj
17,big,n-obj
17,sofa,obj
18,I,n-obj
18,need,n-obj
18,a,n-obj
18,bootle,obj
18,for,n-obj
18,fetching,n-obj
18,water,obj
19,the,n-obj
19,work,n-obj
19,i,n-obj
19,am,n-obj
19,doing,n-obj
19,must,n-obj
19,be,n-obj
19,done,n-obj
19,in,n-obj
19,a,n-obj
19,laptop,obj
20,the,n-obj
20,car,obj
20,needs,n-obj
20,something,n-obj
20,gas,obj
21,the ,n-obj
21,pump,obj
21,is,n-obj
21,not,n-obj
21,for,n-obj
21,usage,n-obj
22,the,n-obj
22,paper,obj
22,must,n-obj
22,be,n-obj
22,handed,n-obj
22,out,n-obj
22,today,n-obj
23,cocain,obj
23,dealers,n-obj
23,are,n-obj
23,not,n-obj
23,here,n-obj
24,pot,obj
24,is,n-obj
24,hot,n-obj
25,glass,obj
25,needs,n-obj
25,to,n-obj
25,be,n-obj
25,fixed,n-obj
26,my ,n-obj
26,bag,obj
26,is,n-obj
26,with,n-obj
26,you ,n-obj
27,fill ,n-obj
27,up ,n-obj
27,the,n-obj
27,bag,obj
27,with,n-obj
27,chips,obj
28,this,n-obj
28,work,n-obj
28,is,n-obj
28,not,n-obj
28,good,n-obj
29,i,n-obj
29,good,n-obj
29,in,n-obj
29,bed,obj
30,mobile,obj
30,doesn't,n-obj
30,ring,n-obj
31,notebook,obj
31,is,n-obj
31,for,n-obj
31,writing,n-obj
32,we,n-obj
32,can,n-obj
32,do,n-obj
32,wheeling,n-obj
32,in,n-obj
32,bike,obj
33,we,n-obj
33,can,n-obj
33,measure,n-obj
33,angles,n-obj
33,using,n-obj
33,protractor,obj
34,pool,obj
34,table,obj
34,is ,n-obj
34,in,n-obj
34,green,n-obj
34,colour,n-obj
35,people,n-obj
35,must,n-obj
35,use,n-obj
35,masks,obj
36,i,n-obj
36,don't,n-obj
36,know,n-obj
36,who,n-obj
36,invented,n-obj
36,computer,obj
